Name,Time,Artist,Album,Genre,Plays,Album Artist,Release Date,Track Number,Last Played,Skips,Last Skipped,Date Added,Composer
Backfire,4:09,Absofacto,"(Loners), Vol. I - EP",Pop,,Absofacto,13/08/2013,1 of 6,,,,11/12/2014 19:21:00,
Möbius Strip (Thru My Fingers),3:43,Absofacto,"(Loners), Vol. I - EP",Pop,,Absofacto,13/08/2013,2 of 6,,,,11/12/2014 19:21:00,
Lies,6:32,Absofacto,"(Loners), Vol. I - EP",Pop,,Absofacto,13/08/2013,3 of 6,,,,11/12/2014 19:21:00,
On a Ladder Leading Nowhere,4:20,Absofacto,"(Loners), Vol. I - EP",Pop,,Absofacto,13/08/2013,4 of 6,,,,11/12/2014 19:21:00,
Geiger Counter,5:14,Absofacto,"(Loners), Vol. I - EP",Pop,,Absofacto,13/08/2013,5 of 6,,,,11/12/2014 19:21:00,
If You Want,4:08,Absofacto,"(Loners), Vol. I - EP",Pop,,Absofacto,13/08/2013,6 of 6,,,,11/12/2014 19:21:00,
Thunderstruck,6:34,AC/DC,AC/DC Live,Rock,,,,1 of 14,,1,2/7/2014 15:31:00,7/10/2013 15:44:00,
Shoot To Thrill,5:23,AC/DC,AC/DC Live,Rock,,,,2 of 14,,,,7/10/2013 15:44:00,
Back In Black,4:28,AC/DC,AC/DC Live,Rock,,,,3 of 14,,,,7/10/2013 15:44:00,
Who Made Who,5:16,AC/DC,AC/DC Live,Rock,,,,4 of 14,,,,7/10/2013 15:44:00,
Heatseeker,3:37,AC/DC,AC/DC Live,Rock,,,,5 of 14,,,,7/10/2013 15:44:00,
The Jack,6:58,AC/DC,AC/DC Live,Rock,,,,6 of 14,,,,7/10/2013 15:44:00,
Moneytalks,4:19,AC/DC,AC/DC Live,Rock,,,,7 of 14,,,,7/10/2013 15:44:00,
Hells Bells,6:01,AC/DC,AC/DC Live,Rock,,,,8 of 14,,,,7/10/2013 15:44:00,
Dirty Deeds Done Dirt Cheap,5:03,AC/DC,AC/DC Live,Rock,,,,9 of 14,,,,7/10/2013 15:44:00,
Whole Lotta Rosie,4:31,AC/DC,AC/DC Live,Rock,,,,10 of 14,,,,7/10/2013 15:44:00,
You Shook Me All Night Long,3:55,AC/DC,AC/DC Live,Rock,,,,11 of 14,,,,7/10/2013 15:44:00,
Highway To Hell,3:59,AC/DC,AC/DC Live,Rock,,,,12 of 14,,,,7/10/2013 15:44:00,
T.N.T.,3:48,AC/DC,AC/DC Live,Rock,,,,13 of 14,,,,7/10/2013 15:44:00,
For Those About To Rock (We Salute You),7:08,AC/DC,AC/DC Live,Rock,,,,14 of 14,,,,7/10/2013 15:44:00,
Hells Bells,5:12,AC/DC,Back In Black,Rock,,,,1 of 10,,,,7/10/2013 15:44:00,"Angus Young, Malcolm Young, Brian Johnson"
Shoot To Thrill,5:18,AC/DC,Back In Black,Rock,,,,2 of 10,,,,7/10/2013 15:44:00,"Angus Young, Malcolm Young, Brian Johnson"
What Do You Do For Money Honey,3:36,AC/DC,Back In Black,Rock,,,,3 of 10,,,,7/10/2013 15:44:00,"Angus Young, Malcolm Young, Brian Johnson"
Givin The Dog A Bone,3:32,AC/DC,Back In Black,Rock,,,,4 of 10,,,,7/10/2013 15:44:00,"Angus Young, Malcolm Young, Brian Johnson"
Let Me Put My Love Into You,4:14,AC/DC,Back In Black,Rock,,,,5 of 10,,,,7/10/2013 15:44:00,"Angus Young, Malcolm Young, Brian Johnson"
Back In Black,4:16,AC/DC,Back In Black,Rock,,,,6 of 10,,,,7/10/2013 15:44:00,"Angus Young, Malcolm Young, Brian Johnson"
You Shook Me All Night Long,3:30,AC/DC,Back In Black,Rock,,,,7 of 10,,,,7/10/2013 15:44:00,"Angus Young, Malcolm Young, Brian Johnson"
Have A Drink On Me,3:59,AC/DC,Back In Black,Rock,,,,8 of 10,,,,7/10/2013 15:44:00,"Angus Young, Malcolm Young, Brian Johnson"
Shake A Leg,4:06,AC/DC,Back In Black,Rock,,,,9 of 10,,,,7/10/2013 15:44:00,"Angus Young, Malcolm Young, Brian Johnson"
Rock And Roll Ain't Noise Pollution,4:15,AC/DC,Back In Black,Rock,,,,10 of 10,,,,7/10/2013 15:44:00,"Angus Young, Malcolm Young, Brian Johnson"
Walk On Water,4:55,Aerosmith,Big Ones,Rock,,,,1 of 15,,1,7/10/2013 19:06:00,7/10/2013 16:13:00,"Steven Tyler, Joe Perry, Jack Blades, Tommy Shaw"
Love In An Elevator,5:22,Aerosmith,Big Ones,Rock,,,,2 of 15,,,,7/10/2013 16:13:00,"Steven Tyler, Joe Perry"
Rag Doll,4:25,Aerosmith,Big Ones,Rock,,,,3 of 15,,,,7/10/2013 16:13:00,"Steven Tyler, Joe Perry, Jim Vallance, Holly Knight"
What It Takes,5:10,Aerosmith,Big Ones,Rock,,,,4 of 15,,,,7/10/2013 16:13:00,"Steven Tyler, Joe Perry, Desmond Child"
Dude (Looks Like A Lady),4:25,Aerosmith,Big Ones,Rock,,,,5 of 15,,,,7/10/2013 16:13:00,"Steven Tyler, Joe Perry, Desmond Child"
Janie's Got A Gun,5:31,Aerosmith,Big Ones,Rock,,,,6 of 15,,,,7/10/2013 16:13:00,"Steven Tyler, Tom Hamilton"
Cryin',5:09,Aerosmith,Big Ones,Rock,,,,7 of 15,,,,7/10/2013 16:13:00,"Steven Tyler, Joe Perry, Taylor Rhodes"
Amazing,5:57,Aerosmith,Big Ones,Rock,,,,8 of 15,,,,7/10/2013 16:13:00,"Steven Tyler, Richie Supa"
Blind Man,4:01,Aerosmith,Big Ones,Rock,,,,9 of 15,,,,7/10/2013 16:13:00,"Steven Tyler, Joe Perry, Taylor Rhodes"
Deuces Are Wild,3:36,Aerosmith,Big Ones,Rock,,,,10 of 15,,,,7/10/2013 16:13:00,"Steven Tyler, Jim Vallance"
The Other Side,4:04,Aerosmith,Big Ones,Rock,,,,11 of 15,,,,7/10/2013 16:13:00,"Steven Tyler, Jim Vallance"
